,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
260,261,The Bourne Ultimatum,444100035.0,227471070.0,51.2,216628965.0,48.8,2007
261,262,The Mummy Returns,443280904.0,202019785.0,45.6,241261119.0,54.4,2001
262,263,Alvin and the Chipmunks: The Squeakquel,443140005.0,219614612.0,49.6,223525393.0,50.4,2009
263,264,Les Misérables,441809770.0,148809770.0,33.7,293000000.0,66.3,2012
264,265,The Exorcist,441306145.0,232906145.0,52.8,208400000.0,47.2,1973
265,266,Mrs. Doubtfire,441286195.0,219195243.0,49.7,222090952.0,50.3,1993
266,267,Terminator Genisys,440603537.0,89760956.0,20.4,350842581.0,79.6,2015
267,268,Beauty and the Beast,440118382.0,218967620.0,49.8,221150762.0,50.2,1991
268,269,Warcraft,439048914.0,47365290.0,10.8,391683624.0,89.2,2016
269,270,A Star Is Born,436188866.0,215288866.0,49.4,220900000.0,50.6,2018
270,271,The Greatest Showman,434993183.0,174340174.0,40.1,260653009.0,59.9,2017
271,272,Terminator 3: Rise of the Machines,433371112.0,150371112.0,34.7,283000000.0,65.3,2003
272,273,Pokémon Detective Pikachu,433005346.0,144105346.0,33.3,288900000.0,66.7,2019
273,274,Die Another Day,431971116.0,160942139.0,37.3,271028977.0,62.7,2002
274,275,The Secret Life of Pets 2,430051293.0,158874395.0,36.9,271176898.0,63.1,2019
275,276,Cast Away,429632142.0,233632142.0,54.4,196000000.0,45.6,2000
276,277,Rampage,428028233.0,101028233.0,23.6,327000000.0,76.4,2018
277,278,The King's Speech,427374317.0,138797449.0,32.5,288576868.0,67.5,2010
278,279,The Matrix Revolutions,427344031.0,139313948.0,32.6,288030083.0,67.4,2003
279,280,The Intouchables,426588510.0,10198820.0,2.4,416389690.0,97.6,2011
280,281,Django Unchained,425368238.0,162805434.0,38.3,262562804.0,61.7,2012
281,282,Dances with Wolves,424208848.0,184208848.0,43.4,240000000.0,56.6,1990
282,283,The Chronicles of Narnia: Prince Caspian,419665568.0,141621490.0,33.8,278044078.0,66.2,2008
283,284,Sex and the City,418765321.0,152647258.0,36.4,266118063.0,63.6,2008
284,285,The Captain,416953262.0,706572.0,0.2,416246690.0,99.8,2019
285,286,The Mummy,415933406.0,155385488.0,37.4,260547918.0,62.6,1999
286,287,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217.0,104386950.0,25.1,311299267.0,74.9,2010
287,288,Jason Bourne,415484914.0,162434410.0,39.1,253050504.0,60.9,2016
288,289,The Wolverine,414828246.0,132556852.0,32.0,282271394.0,68.0,2013
289,290,Kingsman: The Secret Service,414351546.0,128261724.0,31.0,286089822.0,69.0,2015
290,291,Night at the Museum: Battle of the Smithsonian,413106170.0,177243721.0,42.9,235862449.0,57.1,2009
291,292,Batman,411556825.0,251348343.0,61.1,160208482.0,38.9,1989
292,293,The Bodyguard,411006740.0,122006740.0,29.7,289000000.0,70.3,1992
293,294,Pacific Rim,411002906.0,101802906.0,24.8,309200000.0,75.2,2013
294,295,Kingsman: The Golden Circle,410902662.0,100234838.0,24.4,310667824.0,75.6,2017
295,296,The Mummy (2017),409231607.0,80227895.0,19.6,329003712.0,80.4,2017
296,297,Ice Age: Collision Course,408579038.0,64063008.0,15.7,344516030.0,84.3,2016
297,298,Twilight,408424673.0,193962473.0,47.5,214462200.0,52.5,2008
298,299,Signs,408247917.0,227966634.0,55.8,180281283.0,44.2,2002
299,300,X2: X-Men United,407711549.0,214949694.0,52.7,192761855.0,47.3,2003
300,301,Bad Boys for Life,406286462.0,198286462.0,48.8,208000000.0,51.2,2020
