,Unnamed: 0_x,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year_x,Unnamed: 0_y,Color,Runtime,Director Facebook Likes,Actor 1 Facebook Likes,Genres,Number of Voted Users,Cast Total Facebook Likes,Language,Country,Content Rating,Year_y,IMDb Score,Movie Facebook Likes
631,870,880,The Jungle Book 2,186303759.0,47901582.0,25.7,138402177.0,74.3,2003,2185,Color,72.0,0.0,3000.0,Adventure|Animation|Family|Musical,11634,4480,English,USA,G,2003,5.4,227
632,871,881,The Final Destination,186167139.0,66477700.0,35.7,119689439.0,64.3,2009,1223,Color,82.0,160.0,164000.0,Horror,75345,303717,English,USA,R,2009,5.2,0
633,872,882,Atlantis: The Lost Empire,186053725.0,84056472.0,45.2,101997253.0,54.8,2001,368,Color,95.0,21.0,12000.0,Action|Adventure|Animation|Family|Fantasy|Sci-Fi,72591,15237,English,USA,PG,2001,6.8,0
634,873,883,Inside Man,186003591.0,88513495.0,47.6,97490096.0,52.4,2006,946,Color,129.0,0.0,18000.0,Crime|Drama|Mystery|Thriller,273108,19148,English,USA,R,2006,7.6,0
635,874,884,The Waterboy,185991646.0,161491646.0,86.8,24500000.0,13.200000000000005,1998,2050, Black and White,90.0,153.0,11000.0,Comedy|Sport,119450,13823,English,USA,PG-13,1998,6.1,0
636,875,885,Hugo,185770160.0,73864507.0,39.8,111905653.0,60.2,2011,70,Color,126.0,17000.0,17000.0,Adventure|Drama|Family|Mystery,245333,36017,English,USA,PG,2011,7.5,42000
637,877,887,Watchmen,185382813.0,107509799.0,58.0,77873014.0,42.0,2009,165,Color,215.0,0.0,986.0,Action|Drama|Mystery|Sci-Fi,392474,2530,English,USA,R,2009,7.7,18000
638,879,889,Moulin Rouge!,184928135.0,57386607.0,31.0,127541528.0,69.0,2001,903, Black and White,127.0,1000.0,1000.0,Drama|Musical|Romance,224013,2601,English,USA,PG-13,2001,7.6,10000
639,880,890,Snow White and the Seven Dwarfs,184925486.0,184925486.0,100.0,0.0,0.0,1937,4449,Color,83.0,0.0,82.0,Animation|Family|Fantasy|Musical,133348,229,English,USA,Approved,1937,7.7,0
640,881,891,Hop,183953723.0,108085305.0,58.8,75868418.0,41.2,2011,708,Color,95.0,25.0,989.0,Adventure|Animation|Comedy|Family|Fantasy,24089,2558,English,USA,PG,2011,5.5,0
641,882,892,Bad Moms,183936074.0,113257297.0,61.6,70678777.0,38.4,2016,2181,Color,100.0,24.0,15000.0,Comedy,4654,18786,English,USA,R,2016,6.7,18000
642,883,893,Jupiter Ascending,183887723.0,47387723.0,25.8,136500000.0,74.2,2015,62,Color,127.0,0.0,17000.0,Action|Adventure|Sci-Fi,139593,47334,English,USA,PG-13,2015,5.4,44000
643,884,894,Knowing,183658498.0,79957634.0,43.5,103700864.0,56.5,2007,950,Color,121.0,295.0,12000.0,Drama|Mystery|Sci-Fi|Thriller,186879,13421,English,USA,PG-13,2009,6.2,0
644,885,895,102 Dalmatians,183611771.0,66957026.0,36.5,116654745.0,63.5,2000,406,Color,100.0,36.0,2000.0,Adventure|Comedy|Family,26413,4182,English,USA,G,2000,4.8,372
645,887,898,Paul Blart: Mall Cop,183348429.0,146336178.0,79.8,37012251.0,20.200000000000006,2009,1832,Color,91.0,41.0,567.0,Action|Comedy|Crime,84209,2954,English,USA,PG,2009,5.2,0
646,888,899,Wayne's World,183097323.0,121697323.0,66.5,61400000.0,33.5,1992,2159,Color,94.0,122.0,1000.0,Comedy|Music,114610,4263,English,USA,PG-13,1992,7.0,0
647,890,901,Mirror Mirror,183018522.0,64935167.0,35.5,118083355.0,64.5,2012,423,Color,106.0,763.0,8000.0,Adventure|Comedy|Drama|Family|Fantasy,70838,11454,English,USA,PG,2012,5.6,18000
648,891,902,The Man in the Iron Mask,182968902.0,56968902.0,31.1,126000000.0,68.9,1998,1422,Color,132.0,130.0,29000.0,Action|Adventure,125219,29265,English,USA,PG-13,1998,6.4,0
649,892,903,Cape Fear,182291969.0,79091969.0,43.4,103200000.0,56.6,1991,1411,Color,128.0,17000.0,22000.0,Crime|Thriller,127503,24006,English,USA,R,1991,7.3,0
650,893,904,The Haunted Mansion,182290266.0,75847266.0,41.6,106443000.0,58.4,2003,374,Color,88.0,50.0,691.0,Comedy|Family|Fantasy|Horror|Mystery,32049,2622,English,USA,PG,2003,4.9,988
651,895,907,The Bridges of Madison County,182016617.0,71516617.0,39.3,110500000.0,60.7,1995,2086,Color,135.0,16000.0,16000.0,Drama|Romance,54631,27237,English,USA,PG-13,1995,7.5,0
652,896,909,Poseidon,181674817.0,60674817.0,33.4,121000000.0,66.6,2006,105,Color,98.0,249.0,87000.0,Action|Adventure|Drama|Thriller,82380,92456,English,USA,PG-13,2006,5.6,0
653,897,910,The First Wives Club,181489203.0,105489203.0,58.1,76000000.0,41.9,1996,1599,Color,103.0,37.0,944.0,Comedy,31817,3143,English,USA,PG,1996,6.2,0
654,898,911,Scooby-Doo 2: Monsters Unleashed,181216833.0,84216833.0,46.5,97000000.0,53.5,2004,1877,Color,93.0,67.0,4000.0,Adventure|Comedy|Family|Fantasy|Horror|Mystery,33180,7800,English,USA,PG,2004,4.9,567
655,900,913,Road to Perdition,181001478.0,104454762.0,57.7,76546716.0,42.3,2002,457,Color,117.0,0.0,15000.0,Crime|Drama|Thriller,200359,16828,English,USA,R,2002,7.7,0
